Freq.	V(n003)
1.00000000000000e+000	8.72097176389268e-018,2.95309709554024e-009
1.01099099099099e+002	8.91379760342543e-014,2.98556660499390e-007
2.01198198198198e+002	3.53042303604742e-013,5.94167309966606e-007
3.01297297297297e+002	7.91746758980726e-013,8.89792062031849e-007
4.01396396396396e+002	1.40529299541767e-012,1.18543793434557e-006
5.01495495495495e+002	2.19373927157698e-012,1.48111194622938e-006
6.01594594594595e+002	3.15716046196174e-012,1.77682111923165e-006
7.01693693693694e+002	4.29564807009864e-012,2.07257247768357e-006
8.01792792792793e+002	5.60931024496579e-012,2.36837304925556e-006
9.01891891891892e+002	7.09827180018991e-012,2.66422986551432e-006
1.00199099099099e+003	8.76267423636372e-012,2.96014996248050e-006
1.10209009009009e+003	1.06026757661524e-011,3.25614038118710e-006
1.20218918918919e+003	1.26184513426298e-011,3.55220816823873e-006
1.30228828828829e+003	1.48101926904327e-011,3.84836037637176e-006
1.40238738738739e+003	1.71781083399343e-011,4.14460406501554e-006
1.50248648648649e+003	1.97224236645723e-011,4.44094630085468e-006
1.60258558558559e+003	2.24433809210701e-011,4.73739415839259e-006
1.70268468468468e+003	2.53412392926820e-011,5.03395472051630e-006
1.80278378378378e+003	2.84162749356671e-011,5.33063507906267e-006
1.90288288288288e+003	3.16687810286195e-011,5.62744233538611e-006
2.00298198198198e+003	3.50990678249639e-011,5.92438360092789e-006
2.10308108108108e+003	3.87074627086323e-011,6.22146599778714e-006
2.20318018018018e+003	4.24943102527102e-011,6.51869665929360e-006
2.30327927927928e+003	4.64599722813235e-011,6.81608273058232e-006
2.40337837837838e+003	5.06048279345689e-011,7.11363136917024e-006
2.50347747747748e+003	5.49292737367361e-011,7.41134974553495e-006
2.60357657657658e+003	5.94337236676937e-011,7.70924504369558e-006
2.70367567567567e+003	6.41186092372760e-011,8.00732446179590e-006
2.80377477477477e+003	6.89843795633454e-011,8.30559521268993e-006
2.90387387387387e+003	7.40315014525619e-011,8.60406452452994e-006
3.00397297297297e+003	7.92604594849440e-011,8.90273964135702e-006
3.10407207207207e+003	8.46717561013512e-011,9.20162782369440e-006
3.20417117117117e+003	9.02659116945305e-011,9.50073634914343e-006
3.30427027027027e+003	9.60434647034343e-011,9.80007251298266e-006
3.40436936936937e+003	1.02004971710921e-010,1.00996436287696e-005
3.50446846846847e+003	1.08151007544898e-010,1.03994570289460e-005
3.60456756756757e+003	1.14482165382920e-010,1.06995200654459e-005
3.70466666666666e+003	1.20999056860201e-010,1.09998401103071e-005
3.80476576576576e+003	1.27702312181296e-010,1.13004245562866e-005
3.90486486486486e+003	1.34592580235102e-010,1.16012808174785e-005
4.00496396396396e+003	1.41670528713651e-010,1.19024163299367e-005
4.10506306306306e+003	1.48936844234390e-010,1.22038385523003e-005
4.20516216216216e+003	1.56392232466221e-010,1.25055549664239e-005
4.30526126126126e+003	1.64037418259075e-010,1.28075730780110e-005
4.40536036036036e+003	1.71873145777430e-010,1.31099004172519e-005
4.50545945945946e+003	1.79900178637455e-010,1.34125445394657e-005
4.60555855855856e+003	1.88119300047965e-010,1.37155130257470e-005
4.70565765765766e+003	1.96531312955382e-010,1.40188134836165e-005
4.80575675675676e+003	2.05137040192426e-010,1.43224535476762e-005
4.90585585585586e+003	2.13937324630920e-010,1.46264408802700e-005
5.00595495495496e+003	2.22933029338429e-010,1.49307831721482e-005
5.10605405405406e+003	2.32125037739078e-010,1.52354881431374e-005
5.20615315315316e+003	2.41514253778440e-010,1.55405635428158e-005
5.30625225225225e+003	2.51101602092558e-010,1.58460171511926e-005
5.40635135135135e+003	2.60888028181119e-010,1.61518567793940e-005
5.50645045045045e+003	2.70874498585072e-010,1.64580902703540e-005
5.60654954954955e+003	2.81062001068272e-010,1.67647254995104e-005
5.70664864864865e+003	2.91451544803761e-010,1.70717703755075e-005
5.80674774774775e+003	3.02044160564352e-010,1.73792328409039e-005
5.90684684684685e+003	3.12840900917729e-010,1.76871208728866e-005
6.00694594594595e+003	3.23842840426100e-010,1.79954424839907e-005
6.10704504504505e+003	3.35051075850436e-010,1.83042057228266e-005
6.20714414414415e+003	3.46466726359520e-010,1.86134186748122e-005
6.30724324324325e+003	3.58090933743546e-010,1.89230894629123e-005
6.40734234234235e+003	3.69924862632722e-010,1.92332262483850e-005
6.50744144144145e+003	3.81969700720612e-010,1.95438372315346e-005
6.60754054054055e+003	3.94226658992641e-010,1.98549306524712e-005
6.70763963963965e+003	4.06696971959392e-010,2.01665147918781e-005
6.80773873873875e+003	4.19381897895189e-010,2.04785979717863e-005
6.90783783783785e+003	4.32282719081785e-010,2.07911885563560e-005
7.00793693693695e+003	4.45400742057441e-010,2.11042949526667e-005
7.10803603603605e+003	4.58737297871160e-010,2.14179256115139e-005
7.20813513513515e+003	4.72293742342550e-010,2.17320890282149e-005
7.30823423423424e+003	4.86071456327100e-010,2.20467937434219e-005
7.40833333333334e+003	5.00071845987100e-010,2.23620483439440e-005
7.50843243243244e+003	5.14296343068274e-010,2.26778614635771e-005
7.60853153153154e+003	5.28746405182154e-010,2.29942417839429e-005
7.70863063063064e+003	5.43423516094464e-010,2.33111980353367e-005
7.80872972972974e+003	5.58329186019307e-010,2.36287389975838e-005
7.90882882882884e+003	5.73464951919605e-010,2.39468735009057e-005
8.00892792792794e+003	5.88832377813632e-010,2.42656104267952e-005
8.10902702702704e+003	6.04433055087872e-010,2.45849587089011e-005
8.20912612612614e+003	6.20268602816267e-010,2.49049273339232e-005
8.30922522522524e+003	6.36340668085963e-010,2.52255253425164e-005
8.40932432432434e+003	6.52650926329700e-010,2.55467618302059e-005
8.50942342342344e+003	6.69201081664897e-010,2.58686459483121e-005
8.60952252252254e+003	6.85992867239644e-010,2.61911869048860e-005
8.70962162162164e+003	7.03028045585562e-010,2.65143939656564e-005
8.80972072072074e+003	7.20308408977889e-010,2.68382764549866e-005
8.90981981981984e+003	7.37835779802705e-010,2.71628437568435e-005
9.00991891891893e+003	7.55612010931479e-010,2.74881053157777e-005
9.11001801801803e+003	7.73638986103199e-010,2.78140706379153e-005
9.21011711711713e+003	7.91918620314013e-010,2.81407492919613e-005
